pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility
WASP-11 b,WASP-11,WASP-11,3,1,Transit,2008,0.0435,12.442,251.0857,0,K3 V,0.89,1.42,124.73,SuperWASP
WASP-12 b,WASP-12,WASP-12,3,1,Transit,2008,0.0232,21.712,465.62095,0.0447,,1.66,1.43,427.246,SuperWASP
WASP-14 b,WASP-14,WASP-14,3,1,Transit,2008,0.037,15.468,2809.6172,0.09,,1.4,1.62,161.997,SuperWASP
WASP-24 b,WASP-24,WASP-24,3,1,Transit,2010,0.03651,15.468,394.1092,0,,1.42,1.43,322.114,SuperWASP
WASP-3 b,WASP-3,WASP-3,3,1,Transit,2007,0.0315,15.917,772.3269,0,,1.44,1.62,231.161,SuperWASP
WD 1856+534 b,WD 1856+534,WD 1856+534,3,1,Transit,2020,0.0204,10.4,4386.054,0,,0.01,0.52,24.7359,Transiting Exoplanet Survey Satellite (TESS)
eps Ind A b,eps Ind A,eps Ind A,3,1,Radial Velocity,2019,11.55,13.1,1032.9475,0.26,K2 V,0.78,0.75,3.63857,La Silla Observatory
psi1 Dra B b,psi1 Dra B,psi1 Dra B,3,1,Radial Velocity,2015,4.43,13.5,486.2799,0.4,G0 V,1.26,1.19,22.7188,McDonald Observatory
Kepler-20 b,Kepler-20,Kepler-20,2,6,Transit,2011,0.0463,1.868,9.7,0.03,,0.96,0.95,282.563,Kepler
Kepler-20 c,Kepler-20,Kepler-20,2,6,Transit,2011,0.0949,3.047,12.75,0.16,,0.96,0.95,282.563,Kepler
Kepler-20 d,Kepler-20,Kepler-20,2,6,Transit,2011,0.3506,2.744,10.07,0,,0.96,0.95,282.563,Kepler
Kepler-20 e,Kepler-20,Kepler-20,2,6,Transit,2011,0.0639,0.865,3.08,0,,0.96,0.95,282.563,Kepler
Kepler-20 f,Kepler-20,Kepler-20,2,6,Transit,2011,0.1396,1.003,14.3,0,,0.96,0.95,282.563,Kepler
Kepler-20 g,Kepler-20,Kepler-20,2,6,Radial Velocity,2016,0.2055,4.71,19.96,0.15,,0.96,0.95,282.563,Multiple Observatories
55 Cnc b,55 Cnc,55 Cnc,2,5,Radial Velocity,1996,0.1134,13.9,263.9785,0,K0 IV-V,0.94,0.91,12.5855,Lick Observatory
55 Cnc c,55 Cnc,55 Cnc,2,5,Radial Velocity,2004,0.2373,8.51,54.4738,0.03,G8V,0.94,0.91,12.5855,McDonald Observatory
55 Cnc d,55 Cnc,55 Cnc,2,5,Radial Velocity,2002,5.957,13,1232.493,0.13,G8 V,0.94,0.91,12.5855,Lick Observatory
55 Cnc e,55 Cnc,55 Cnc,2,5,Radial Velocity,2004,0.01544,1.875,7.99,0.05,G8 V,0.94,0.91,12.5855,McDonald Observatory
55 Cnc f,55 Cnc,55 Cnc,2,5,Radial Velocity,2007,0.7708,7.59,44.812,0.08,G8V,0.94,0.91,12.5855,Multiple Observatories
HD 20781 b,HD 20781,HD 2078_,2,5,Radial Velocity,2019,0.0529,1.21,1.93,0.1,K0 V,0.83,0.7,35.9715,La Silla Observatory
HD 20781 c,HD 20781,HD 2078_,2,5,Radial Velocity,2019,0.1004,2.17,5.33,0.09,K0 V,0.83,0.7,35.9715,La Silla Observatory
HD 20781 d,HD 20781,HD 2078_,2,5,Radial Velocity,2019,0.1647,3.25,10.61,0.11,K0 V,0.83,0.7,35.9715,La Silla Observatory
HD 20781 e,HD 20781,HD 2078_,2,5,Radial Velocity,2019,0.3374,3.83,14.03,0.06,K0 V,0.83,0.7,35.9715,La Silla Observatory
HD 20782 b,HD 20782,HD 2078_,2,5,Radial Velocity,2006,1.3649,13.6,472.83,0.95,G1.5 V,1.13,1.04,35.9864,Anglo-Australian Telescope
Kepler-296 b,Kepler-296,Kepler-296,2,5,Transit,2014,0.079,1.61,3.22,0.33,M2 V,0.48,0.5,167,Kepler
Kepler-296 c,Kepler-296,Kepler-296,2,5,Transit,2014,0.0521,2,4.66,0.33,M2 V,0.48,0.5,167,Kepler
Kepler-296 d,Kepler-296,Kepler-296,2,5,Transit,2014,0.118,2.09,5.02,0.33,M2 V,0.48,0.5,167,Kepler
Kepler-296 e,Kepler-296,Kepler-296,2,5,Transit,2014,0.169,1.53,2.96,0.33,M2 V,0.48,0.5,167,Kepler
Kepler-296 f,Kepler-296,Kepler-296,2,5,Transit,2014,0.255,1.8,3.89,0.33,M2 V,0.48,0.5,167,Kepler
GJ 676 A b,GJ 676 A,GJ 676 A,2,4,Radial Velocity,2010,1.734535,12.8,1837.01057,0.318615,M0 V,0.69,0.63,16.0272,La Silla Observatory
GJ 676 A c,GJ 676 A,GJ 676 A,2,4,Radial Velocity,2016,9.67808,12.3,4271.00959,0.295316,M0,0.65,0.63,16.0272,Paranal Observatory
GJ 676 A d,GJ 676 A,GJ 676 A,2,4,Radial Velocity,2012,0.039322,1.77,3.79832,0.192193,M0 V,0.65,0.63,16.0272,La Silla Observatory
GJ 676 A e,GJ 676 A,GJ 676 A,2,4,Radial Velocity,2012,0.180707,2.48,6.69167,0.152395,M0 V,0.65,0.63,16.0272,La Silla Observatory
K2-266 b,K2-266,K2-266,2,4,Transit,2018,0.01306,3.3,11.26782,,,0.7,0.69,77.5586,K2
K2-266 c,K2-266,K2-266,2,4,Transit,2018,0.0679,0.705,0.29013,0.042,,0.7,0.69,77.5586,K2
K2-266 d,K2-266,K2-266,2,4,Transit,2018,0.1035,2.93,8.9,0.047,,0.7,0.69,77.5586,K2
K2-266 e,K2-266,K2-266,2,4,Transit,2018,0.1249,2.73,14.3,0.043,,0.7,0.69,77.5586,K2
K2-32 b,K2-32,K2-32,2,4,Transit,2016,0.0795,5.299,15,0.03,G9 V,0.86,0.83,157.682,K2
K2-32 c,K2-32,K2-32,2,4,Transit,2016,0.13843,3.134,8.1,0.049,G9 V,0.86,0.83,157.682,K2
K2-32 d,K2-32,K2-32,2,4,Transit,2016,0.18422,3.484,6.7,0.05,G9 V,0.86,0.83,157.682,K2
K2-32 e,K2-32,K2-32,2,4,Transit,2019,0.04899,1.212,2.1,0.043,G9 V,0.86,0.83,157.682,K2
KOI-94 b,KOI-94,KOI-94,2,4,Transit,2013,0.05119,1.71,10.5,0.25,,1.52,1.28,477.052,Kepler
KOI-94 c,KOI-94,KOI-94,2,4,Transit,2013,0.1013,4.32,15.6,0.43,,1.52,1.28,477.052,Kepler
KOI-94 d,KOI-94,KOI-94,2,4,Transit,2013,0.1684,11.27,106,0.022,,1.52,1.28,477.052,Kepler
KOI-94 e,KOI-94,KOI-94,2,4,Transit,2013,0.3046,6.56,35,0.019,,1.52,1.28,477.052,Kepler
Kepler-132 b,Kepler-132,Kepler-132,2,4,Transit,2014,0.067,1.21,1.92,0,,1.18,0.98,349.549,Kepler
Kepler-132 c,Kepler-132,Kepler-132,2,4,Transit,2014,0.068,1.28,2.18,0,,1.18,0.98,349.549,Kepler
Kepler-132 d,Kepler-132,Kepler-132,2,4,Transit,2014,0.136,1.55,3.02,0,,1.18,0.98,349.549,Kepler
Kepler-132 e,Kepler-132,Kepler-132,2,4,Transit,2016,0.4393,1.18,1.76,0,,1.1,1.03,349.549,Kepler
Kepler-167 b,Kepler-167,Kepler-167,2,4,Transit,2014,0.04825,1.718,3.6,0,K4,0.75,0.78,341.908,Kepler
Kepler-167 c,Kepler-167,Kepler-167,2,4,Transit,2014,0.0684,1.674,3.44,0,K4,0.75,0.78,341.908,Kepler
Kepler-167 d,Kepler-167,Kepler-167,2,4,Transit,2016,0.1404,1.238,2.06,0,K4,0.75,0.78,341.908,Kepler
Kepler-167 e,Kepler-167,Kepler-167,2,4,Transit,2016,1.883,10.16,321.00669,0.29,K4,0.75,0.78,341.908,Kepler
Kepler-197 b,Kepler-197,Kepler-197,2,4,Transit,2014,0.06,1.02,1.04,0.02,,1.12,0.86,330.575,Kepler
Kepler-197 c,Kepler-197,Kepler-197,2,4,Transit,2014,0.09,1.23,5.3,0.08,,1.12,0.86,330.575,Kepler
Kepler-197 d,Kepler-197,Kepler-197,2,4,Transit,2014,0.119,1.22,1.98,0.03,,1.12,0.86,330.575,Kepler
Kepler-197 e,Kepler-197,Kepler-197,2,4,Transit,2014,0.164,0.91,0.693,0.38,,1.12,0.86,330.575,Kepler
Kepler-411 b,Kepler-411,Kepler-411,2,4,Transit,2013,0.0375,2.401,25.6,0.146,K2 V,0.82,0.87,153.676,Kepler
Kepler-411 c,Kepler-411,Kepler-411,2,4,Transit,2016,0.0739,4.421,26.4,0.108,K2 V,0.82,0.87,153.676,Kepler
Kepler-411 d,Kepler-411,Kepler-411,2,4,Transit,2018,0.279,3.319,15.2,0.128,K2 V,0.82,0.87,153.676,Kepler
Kepler-411 e,Kepler-411,Kepler-411,2,4,Transit Timing Variations,2018,0.186,3.28,10.8,0.016,K2 V,0.82,0.87,153.676,Kepler
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,0.92,13.4,603.877,0.33,,0.2,0.48,396.332,Kepler
HD 125612 b,HD 125612,HD 125612,2,3,Radial Velocity,2007,1.348279,13.2,944.27564,0.4465,G3 V,1.07,1.05,57.6207,W. M. Keck Observatory
HD 125612 c,HD 125612,HD 125612,2,3,Radial Velocity,2009,0.051386,4.01,15.17685,0.148622,G3 V,1.05,1.05,57.6207,La Silla Observatory
HD 125612 d,HD 125612,HD 125612,2,3,Radial Velocity,2009,3.979432,12.6,2352.38976,0.114614,G3 V,1.05,1.05,57.6207,La Silla Observatory
HD 133131 A b,HD 133131 A,HD 133131 A,2,3,Radial Velocity,2016,1.44,13.6,451.3186,0.33,G2 V,0.96,0.95,51.4736,Las Campanas Observatory
HD 133131 A c,HD 133131 A,HD 133131 A,2,3,Radial Velocity,2016,4.49,14.3,133.4886,0.49,G2 V,0.96,0.95,51.4736,Las Campanas Observatory
HD 133131 B b,HD 133131 B,HD 133131 B,2,3,Radial Velocity,2016,6.15,13.3,794.575,0.61,G2 V,0.99,0.93,51.2993,Las Campanas Observatory
HD 142 A d,HD 142,HD 142,2,3,Radial Velocity,2022,0.474065,10.8,81.62789,0.129711,F7V,1.41,1.21,26.1853,Multiple Observatories
HD 142 b,HD 142,HD 142,2,3,Radial Velocity,2001,1.038376,13.7,395.51812,0.157528,G1 IV,1.47,1.21,26.1853,Anglo-Australian Telescope
HD 142 c,HD 142,HD 142,2,3,Radial Velocity,2012,9.815941,12.4,3521.33769,0.276797,F7V,1.47,1.21,26.1853,Anglo-Australian Telescope
HR 858 b,HR 858,HR 858,2,3,Transit,2019,0.048,2.085,5,0.3,F6 V,1.31,1.15,31.964,Transiting Exoplanet Survey Satellite (TESS)
HR 858 c,HR 858,HR 858,2,3,Transit,2019,0.0674,1.939,4.42,0.19,F6 V,1.31,1.15,31.964,Transiting Exoplanet Survey Satellite (TESS)
HR 858 d,HR 858,HR 858,2,3,Transit,2019,0.1027,2.164,5.32,0.28,F6 V,1.31,1.15,31.964,Transiting Exoplanet Survey Satellite (TESS)
K2-136 b,K2-136,K2-136,2,3,Transit,2017,,0.99,0.937,0.1,K5.5,0.66,0.74,59.2474,K2
K2-136 c,K2-136,K2-136,2,3,Transit,2017,0.11728,2.91,8.8,0.13,K5.5,0.66,0.74,59.2474,K2
K2-136 d,K2-136,K2-136,2,3,Transit,2017,,1.45,2.7,0.14,K5.5,0.66,0.74,59.2474,K2
K2-148 b,K2-148,K2-148,2,3,Transit,2018,0.0454,1.33,2.33,,,0.63,0.65,124.458,K2
K2-148 c,K2-148,K2-148,2,3,Transit,2018,0.0616,1.73,3.64,,,0.63,0.65,124.458,K2
K2-148 d,K2-148,K2-148,2,3,Transit,2018,0.0774,1.64,3.33,,,0.63,0.65,124.458,K2
Kepler-104 b,Kepler-104,Kepler-104,2,3,Transit,2014,0.094,3.1,19.6,0,,1.35,0.81,400.785,Kepler
Kepler-104 c,Kepler-104,Kepler-104,2,3,Transit,2014,0.153,3.13,9.96,0,,1.35,0.81,400.785,Kepler
Kepler-104 d,Kepler-104,Kepler-104,2,3,Transit,2014,0.257,3.58,12.5,0,,1.35,0.81,400.785,Kepler
Kepler-1130 b,Kepler-1130,Kepler-1130,2,3,Transit,2016,0.0595,0.8,0.437,0,,0.81,0.9,249.343,Kepler
Kepler-1130 c,Kepler-1130,Kepler-1130,2,3,Transit,2021,0.0423,0.792,0.422,0,,0.84,0.94,249.343,Kepler
Kepler-1130 d,Kepler-1130,Kepler-1130,2,3,Transit,2021,0.0506,0.645,0.202,0,,0.84,0.94,249.343,Kepler
Kepler-130 b,Kepler-130,Kepler-130,2,3,Transit,2014,0.079,1.02,1.04,0.15,,1.13,0.96,316.663,Kepler
Kepler-130 c,Kepler-130,Kepler-130,2,3,Transit,2014,0.178,2.9,8.75,0,,1.17,1,316.663,Kepler
Kepler-130 d,Kepler-130,Kepler-130,2,3,Transit,2014,0.377,1.64,3.33,0.8,,1.13,0.96,316.663,Kepler
Kepler-25 b,Kepler-25,Kepler-25,2,3,Transit,2011,0.0685,2.748,8.7,0.0029,,1.32,1.17,243.249,Kepler
Kepler-25 c,Kepler-25,Kepler-25,2,3,Transit,2011,0.1101,5.217,15.2,0.0061,,1.32,1.17,243.249,Kepler
Kepler-25 d,Kepler-25,Kepler-25,2,3,Radial Velocity,2014,,10,71.9,0.13,,1.32,1.17,243.249,W. M. Keck Observatory
Kepler-451 c,2MASS J19383260+4603591,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2022,,13.5,511.70374,0.29,,0.2,0.48,396.332,Multiple Observatories
Kepler-451 d,2MASS J19383260+4603591,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2022,,13.5,559.378,0,,0.2,0.48,396.332,Multiple Observatories
Kepler-47 b,Kepler-47,Kepler-47,2,3,Transit,2012,0.2877,3.05,2.07,0.021,,0.94,0.96,1025.02,Kepler
Kepler-47 c,Kepler-47,Kepler-47,2,3,Transit,2012,0.9638,4.65,3.17,0.044,,0.94,0.96,1025.02,Kepler
Kepler-47 d,Kepler-47,Kepler-47,2,3,Transit,2019,0.6992,7.04,19.02,0.024,,0.94,0.96,1025.02,Kepler
Kepler-68 b,Kepler-68,Kepler-68,2,3,Transit,2013,0.0617,2.354,7.65,0,,1.26,1.06,144.166,Kepler
Kepler-68 c,Kepler-68,Kepler-68,2,3,Transit,2013,0.09059,0.92,2.04,0,,1.26,1.06,144.166,Kepler
Kepler-68 d,Kepler-68,Kepler-68,2,3,Radial Velocity,2013,1.4,13.9,267,0.112,,1.26,1.06,144.166,W. M. Keck Observatory
Kepler-83 b,Kepler-83,Kepler-83,2,3,Transit,2012,0.07295,2.83,42.1,0,M0 V,0.61,0.66,400.409,Kepler
Kepler-83 c,Kepler-83,Kepler-83,2,3,Transit,2012,0.11796,2.36,11.4,0,M0 V,0.61,0.66,400.409,Kepler
Kepler-83 d,Kepler-83,Kepler-83,2,3,Transit,2014,0.051,1.94,24.6,0,M0 V,0.59,0.58,400.409,Kepler
TOI-451 b,TOI-451,TOI-451,2,3,Transit,2020,0.0283,1.91,4.31,0,,0.88,0.95,123.739,Transiting Exoplanet Survey Satellite (TESS)
TOI-451 c,TOI-451,TOI-451,2,3,Transit,2020,0.0823,3.1,9.8,0,,0.88,0.95,123.739,Transiting Exoplanet Survey Satellite (TESS)
TOI-451 d,TOI-451,TOI-451,2,3,Transit,2020,0.1208,4.07,15.6,0,,0.88,0.95,123.739,Transiting Exoplanet Survey Satellite (TESS)
XO-2 N b,XO-2 N,XO-2,2,3,Transit,2007,0.0368,11.131,179.89178,0.028,K0 V,0.99,0.97,154.273,XO
XO-2 S b,XO-2 S,XO-2,2,3,Radial Velocity,2014,0.13,10.9,82.6358,0.18,,1,0.98,151.398,Roque de los Muchachos Observatory
XO-2 S c,XO-2 S,XO-2,2,3,Radial Velocity,2014,0.4756,13.6,435.409,0.1528,,1.02,0.98,151.398,Roque de los Muchachos Observatory
ups And b,ups And,ups And,2,3,Radial Velocity,1996,0.059222,14,218.531,0.0215,F8 V,1.56,1.3,13.4054,Lick Observatory
ups And c,ups And,ups And,2,3,Radial Velocity,1999,0.827774,12.3,4443.24113,0.2596,F8 V,1.56,1.3,13.4054,Multiple Observatories
ups And d,ups And,ups And,2,3,Radial Velocity,1999,2.51329,12.5,3257.74117,0.2987,F8 V,1.56,1.3,13.4054,Multiple Observatories
GJ 15 A b,GJ 15 A,GJ 15 A,2,2,Radial Velocity,2014,0.072,1.55,3.03,0.094,M1,0.38,0.38,3.56228,W. M. Keck Observatory
GJ 15 A c,GJ 15 A,GJ 15 A,2,2,Radial Velocity,2018,5.4,6.67,36,0.27,M1,0.38,0.38,3.56228,Roque de los Muchachos Observatory
GJ 229 A c,GJ 229,GJ 229,2,2,Radial Velocity,2020,0.384214,2.87,8.57613,0.365639,M1.5V,0.46,0.51,5.75624,Multiple Facilities
GJ 229 b,GJ 229,GJ 229,2,2,Radial Velocity,2014,1.086215,3.96,14.85045,0.403522,M1/M2 V,0.46,0.51,5.75624,Multiple Observatories
GJ 3473 b,GJ 3473,GJ 3473,2,2,Transit,2020,0.01589,1.264,1.86,0,M4,0.36,0.36,27.3644,Transiting Exoplanet Survey Satellite (TESS)
GJ 3473 c,GJ 3473,GJ 3473,2,2,Radial Velocity,2020,0.0876,2.63,7.41,0,M4,0.36,0.36,27.3644,Multiple Observatories
GJ 414 A b,GJ 414 A,GJ 414 A,2,2,Radial Velocity,2021,0.2324,2.63,7.6,0.45,K7 V,0.68,0.65,11.8893,W. M. Keck Observatory
GJ 414 A c,GJ 414 A,GJ 414 A,2,2,Radial Velocity,2021,1.4,8.4,53.83,0.105,K7 V,0.68,0.65,11.8893,W. M. Keck Observatory
HD 107148 b,HD 107148,HD 107148,2,2,Radial Velocity,2005,0.269,9.6,66.741,0.05,G5 V,1.17,1.12,49.4156,W. M. Keck Observatory
HD 107148 c,HD 107148,HD 107148,2,2,Radial Velocity,2021,0.1407,4.7,19.89606,0.34,G5 V,1.17,1.11,49.4156,Multiple Observatories
HD 11343 c,HIP 8541,HIP 8541,2,2,Radial Velocity,2022,0.922152,13.9,253.39075,0.168579,K2 III/IV,6.78,2.01,155.121,Multiple Observatories
HD 116029 b,HD 116029,HD 116029,2,2,Radial Velocity,2011,1.65,13.6,444.962,0,K0,4.89,0.83,123.245,W. M. Keck Observatory
HD 116029 c,HD 116029,HD 116029,2,2,Radial Velocity,2018,,13.7,403.6441,0.038,K0,4.6,1.33,123.245,W. M. Keck Observatory
HD 11964 b,HD 11964,HD 11964,2,2,Radial Velocity,2005,3.16,14.1,198,0.041,G9 V CN+1,2.01,0.91,33.5369,W. M. Keck Observatory
HD 11964 c,HD 11964,HD 11964,2,2,Radial Velocity,2008,0.229,5.38,25,0.3,G9 V CN+1,2.01,0.91,33.5369,W. M. Keck Observatory
HD 147873 b,HD 147873,HD 147873,2,2,Radial Velocity,2016,0.522,12.8,1633.6462,0.207,G1 V,2.29,1.38,109.055,Multiple Observatories
HD 147873 c,HD 147873,HD 147873,2,2,Radial Velocity,2016,1.36,13.3,731.009,0.23,G1 V,2.29,1.38,109.055,Multiple Observatories
HD 177830 b,HD 177830,HD 177830,2,2,Radial Velocity,1999,1.14,13.5,537.1327,0.1,K0,3.26,1.7,62.7674,W. M. Keck Observatory
HD 177830 c,HD 177830,HD 177830,2,2,Radial Velocity,2010,0.5137,7.87,47.6725,0.3,K0,2.62,1.47,62.7674,W. M. Keck Observatory
HD 190360 b,HD 190360,HD 190360,2,2,Radial Velocity,2003,3.9,13.4,572.09113,0.34,G V,1.14,1,16.0069,Haute-Provence Observatory
HD 190360 c,HD 190360,HD 190360,2,2,Radial Velocity,2005,0.1304,4.59,19.069,0.237,G6 IV,1.17,0.98,16.0069,W. M. Keck Observatory
HD 217786 b,HD 217786,HD 217786,2,2,Radial Velocity,2011,2.44502,12.3,4402.88762,0.310811,F8 V,1.27,1.14,55.4847,La Silla Observatory
HD 217786 c,HD 217786,HD 217786,2,2,Radial Velocity,2022,0.037863,2.62,7.35886,-0.518659,F8 V,1.34,1.14,55.4847,Multiple Observatories
